seed_index,seed,world,detector_variant,detector,event_decoder,status,failure_modes,event_count,transition_count,motif_count,canonical_motif_supports,canonical_motif_recovery,canonical_length3_supports,canonical_length3_support_min,canonical_length3_support_mass,canonical_length3_support_fraction,representation_gain,canonical_length3_ranks,canonical_length3_rank_worst,length3_motif_support_mass,length3_motif_count,top5_length3_patterns,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,event_history_accuracy,event_context_accuracy,collapsed_static_accuracy,predictive_accuracy_delta,compressibility_index,recurring_three_event_window_fraction,repeated_episode_instance_fraction
3,310,branch,sliding_low_consensus_pair,sliding_window,consensus_pair,degraded,overcapture_degradation;motif_degradation,422,282,29,55;53,0.883333,55;53,53,108,1.0,0.116667,1;2,2,108,2,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F}",1.196753,0.196753,0.974359,0.963855,0.0,0.974359,0.502622,0.760563,0.778571
3,310,branch,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,degraded,overcapture_degradation;motif_degradation,419,279,30,56;53,0.883333,56;53,53,109,1.0,0.116667,1;2,2,109,2,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F}",1.191558,0.191558,0.95,0.963855,0.0,0.95,0.509961,0.784173,0.785714
3,310,branch,hybrid_fast_temporal_consensus_pair,hybrid_state_window,temporal_consensus_pair,failed,undercapture;motif_degradation,435,295,32,56;52,0.866667,56;52,52,108,0.9310344827586207,0.064367,1;2,2,116,4,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {A,B} -> {B,C} | {A,B} -> {A,B} -> {B,E}",0.561688,0.0,0.975,0.975904,0.011905,0.963095,0.494982,0.748387,0.771429
3,310,branch,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,failed,coverage_degradation;motif_loss;history_prediction_degradation,546,406,81,40;40,0.666667,40;40,40,80,0.5755395683453237,-0.091127,1;2,2,139,17,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {B,E} -> {B,E} | {B,E} -> {B,E} -> {E,F} | {A,B} -> {A,B} -> {B,C}",0.800649,0.0,0.7,0.743119,0.025862,0.674138,0.357118,0.522556,0.542857
3,310,overlap,sliding_window_low_threshold,sliding_window,none,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,667,467,86,44;45;44,0.733333,44;45;44,44,133,0.8109756097560976,0.077643,3;1;2,3,164,18,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,G} -> {E,F} | {A,B} -> {B,C} -> {E,F} | {B,E,F} -> {B,E} -> {E,F} | {A,B} -> {B,C,H} -> {B,C}",1.295989,0.295989,0.71875,0.75,0.0,0.71875,0.437837,0.614232,0.705
3,310,overlap,sliding_low_consensus_pair,sliding_window,consensus_pair,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,621,421,46,55;56;50,0.833333,55;56;50,50,161,0.936046511627907,0.102714,2;1;3,3,172,8,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {E,F} | {A,B} -> {B,G} -> {E,F} | {A,B} -> {B,G} -> {A,B} | {B,E} -> {E,F} -> {E,F}",1.209948,0.209948,0.822581,0.864,0.0,0.822581,0.514897,0.778281,0.835
3,310,overlap,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,617,417,44,56;55;52,0.866667,56;55;52,52,163,0.9644970414201184,0.09783,1;2;3,3,169,6,"{A,B} -> {B,C} -> {E,F} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {B,G} -> {E,F} | {B,E} -> {E,F} -> {E,F} | {A,B} -> {B,G} -> {G,H}",1.206363,0.206363,0.9,0.918699,0.0,0.9,0.516721,0.778802,0.835
3,310,overlap,hybrid_fast_temporal_consensus_pair,hybrid_state_window,temporal_consensus_pair,failed,undercapture;motif_degradation;history_prediction_degradation,625,425,43,55;56;54,0.9,55;56;54,54,165,0.9065934065934066,0.006593,2;1;3,3,182,7,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {E,F} | {A,B} -> {B,G} -> {E,F} | {A,B} -> {A,B} -> {B,E} | {A,B} -> {A,B} -> {B,G}",0.559713,0.0,0.857143,0.904762,0.045113,0.81203,0.529388,0.808889,0.835
3,310,overlap,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,failed,coverage_degradation;motif_loss;history_prediction_failure,778,578,114,41;44;40,0.666667,41;44;40,40,125,0.5555555555555556,-0.111111,2;1;3,3,225,35,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {E,F} | {A,B} -> {B,G} -> {E,F} | {A,B} -> {A,B} -> {B,G} | {A,B} -> {A,B} -> {B,E}",0.791844,0.0,0.526882,0.635294,0.065934,0.460948,0.393453,0.595238,0.61
3,310,hostile_unique,sliding_window_low_threshold,sliding_window,none,expected_collapse,noncompressible_as_expected,929,729,88,,0.0,,0,0,0.0,0.0,,0,0,0,,0.839819,0.0,0.0,0.0,0.0,0.0,0.001832,0.0,0.0
3,310,hostile_unique,sliding_low_consensus_pair,sliding_window,consensus_pair,expected_collapse,noncompressible_as_expected,788,588,137,,0.0,,0,0,0.0,0.0,,0,0,0,,0.667457,0.0,0.0,0.0,0.0,0.0,0.00666,0.0,0.0
3,310,hostile_unique,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,expected_collapse,noncompressible_as_expected,744,544,125,,0.0,,0,0,0.0,0.0,,0,0,0,,0.647839,0.0,0.0,0.0,0.0,0.0,0.004864,0.0,0.0
3,310,hostile_unique,hybrid_fast_temporal_consensus_pair,hybrid_state_window,temporal_consensus_pair,expected_collapse,noncompressible_as_expected,769,569,132,,0.0,,0,0,0.0,0.0,,0,0,0,,0.281988,0.0,0.0,0.0,0.0,0.0,0.005035,0.0,0.0
3,310,hostile_unique,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,expected_collapse,noncompressible_as_expected,1671,1471,532,,0.0,,0,0,0.0,0.0,,0,4,2,"{U05,U08} -> {U05,U11} -> {U05,U15} | {U00,U11} -> {U00,U27} -> {U00,U25}",0.557723,0.0,0.071429,0.0,0.0,0.071429,0.009081,0.003147,0.0
