world,environment,detector_variant,detector,event_decoder,decoder_subset_size,status,failure_modes,score,event_count,motif_count,canonical_motif_recovery,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,event_history_accuracy,predictive_accuracy_delta,compressibility_index,transition_count,canonical_motif_supports,event_context_accuracy,collapsed_static_accuracy,recurring_three_event_window_fraction,repeated_episode_instance_fraction
branch,spurious,hysteresis_default,hysteresis,none,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.280394,841,223,0.15,0.927402,0.0,0.289474,0.284666,0.204866,701,9;10,0.39801,0.004808,0.30303,0.057143
branch,spurious,hysteresis_tight,hysteresis,none,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.278687,865,236,0.133333,0.92277,0.0,0.304,0.304,0.237118,725,8;9,0.382353,0.0,0.386325,0.05
branch,spurious,hysteresis_loose,hysteresis,none,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.257082,860,236,0.116667,0.934447,0.0,0.205128,0.205128,0.217382,720,12;7,0.35,0.0,0.332759,0.014286
branch,spurious,hysteresis_low_threshold,hysteresis,none,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.29264,846,218,0.183333,0.924511,0.0,0.309524,0.309524,0.238563,706,11;14,0.369159,0.0,0.381625,0.057143
branch,spurious,hysteresis_high_threshold,hysteresis,none,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.280397,859,238,0.1,0.937343,0.0,0.342105,0.337179,0.219874,719,6;13,0.42132,0.004926,0.338515,0.028571
branch,spurious,hybrid_default,hybrid_state_window,none,2,failed,undercapture;motif_degradation;history_prediction_degradation,0.493785,484,62,0.833333,0.629057,0.0,0.808511,0.787892,0.442481,344,52;50,0.864583,0.020619,0.656863,0.7
branch,spurious,hybrid_strict_local,hybrid_state_window,none,2,failed,undercapture;history_prediction_degradation,0.514123,459,49,0.983333,0.454658,0.0,0.886792,0.886792,0.514969,319,60;59,0.989247,0.0,0.815642,0.807143
branch,spurious,hybrid_loose_local,hybrid_state_window,none,2,failed,undercapture;motif_degradation;history_prediction_degradation,0.494199,551,67,0.866667,0.641184,0.0,0.746479,0.746479,0.44213,411,52;53,0.789916,0.0,0.678967,0.578571
branch,spurious,hybrid_fast_decay,hybrid_state_window,none,2,failed,undercapture;motif_degradation;history_prediction_degradation,0.487857,486,56,0.816667,0.627295,0.0,0.795918,0.786395,0.417676,346,49;51,0.857143,0.009524,0.582524,0.614286
branch,spurious,hybrid_high_commit,hybrid_state_window,none,2,failed,undercapture;motif_degradation;history_prediction_degradation,0.510288,475,48,0.883333,0.627276,0.0,0.82,0.82,0.449433,335,53;53,0.934066,0.0,0.646154,0.714286
