environment_id,world,detector_variant,detector,status,failure_modes,event_count,transition_count,motif_count,canonical_motif_supports,canonical_motif_recovery,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,event_history_accuracy,event_context_accuracy,collapsed_static_accuracy,predictive_accuracy_delta,compressibility_index,recurring_three_event_window_fraction,repeated_episode_instance_fraction,window_size,activation_threshold,dropout_probability,spurious_probability,heu_attack_rate,heu_recovery_rate,heu_leak_rate,heu_commitment_threshold,hysteresis_off_ratio,hybrid_local_threshold_ratio,event_decoder,decoder_subset_size
overlap_spurious,overlap,union_high_commit,union_state_window,failed,overcapture_degradation;motif_loss;history_prediction_failure,1139,939,277,5;8;8,0.083333,1.133925,0.133925,0.221429,0.294355,0.003861,0.217568,0.223741,0.324763,0.06,3,0.75,0.0,0.05,0.8,0.35,0.02,0.8,0.55,0.75,none,2
overlap_spurious,overlap,union_low_threshold,union_state_window,failed,overcapture;motif_loss;history_prediction_failure,1118,918,273,14;11;10,0.166667,1.602092,0.602092,0.313253,0.388889,0.0,0.313253,0.27371,0.44429,0.065,3,0.6,0.0,0.05,0.8,0.35,0.02,0.65,0.55,0.75,none,2
overlap_spurious,overlap,union_top_intensity_pair,union_state_window,failed,coverage_degradation;motif_loss;history_prediction_failure,747,547,136,34;36;33,0.55,0.847553,0.0,0.52809,0.690323,0.018293,0.509797,0.371873,0.590778,0.575,3,0.75,0.0,0.05,0.8,0.35,0.02,0.65,0.55,0.75,top_intensity_pair,2
overlap_spurious,overlap,union_frequent_subset_pair,union_state_window,failed,coverage_degradation;motif_loss;history_prediction_failure,752,552,96,36;41;43,0.6,0.84569,0.0,0.638554,0.707483,0.019481,0.619074,0.420386,0.636364,0.66,3,0.75,0.0,0.05,0.8,0.35,0.02,0.65,0.55,0.75,frequent_subset_pair,2
overlap_spurious,overlap,union_consensus_pair,union_state_window,failed,coverage_degradation;motif_loss;history_prediction_failure,731,531,93,41;43;38,0.633333,0.838235,0.0,0.604938,0.707483,0.0375,0.567438,0.419975,0.616314,0.625,3,0.75,0.0,0.05,0.8,0.35,0.02,0.65,0.55,0.75,consensus_pair,2
overlap_spurious,overlap,union_consensus_fast_decay,union_state_window,failed,coverage_degradation;motif_loss;history_prediction_failure,762,562,107,37;40;36,0.6,0.850237,0.0,0.642105,0.632911,0.047059,0.595046,0.401169,0.610497,0.59,3,0.75,0.0,0.05,0.8,0.6,0.05,0.65,0.55,0.75,consensus_pair,2
overlap_spurious,overlap,sliding_low_consensus_pair,sliding_window,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,617,417,35,56;58;55,0.916667,1.24195,0.24195,0.949153,0.958333,0.0,0.949153,0.525212,0.778802,0.84,3,0.6,0.0,0.05,0.8,0.35,0.02,0.65,0.55,0.75,consensus_pair,2
overlap_spurious,overlap,hybrid_fast_consensus_pair,hybrid_state_window,failed,undercapture;motif_degradation,617,417,36,56;57;59,0.933333,0.602004,0.0,1.0,0.97541,0.0,1.0,0.532596,0.81106,0.855,3,0.75,0.0,0.05,0.8,0.6,0.05,0.65,0.55,0.75,consensus_pair,2
overlap_window_blur,overlap,sliding_window_default,sliding_window,failed,undercapture;motif_loss,250,85,21,5;0;3,0.0,0.630556,0.0,1.0,0.538462,0.0,1.0,0.439759,0.727273,0.884848,4,0.75,0.0,0.0,0.8,0.35,0.02,0.65,0.55,0.75,none,2
overlap_window_blur,overlap,sliding_window_short,sliding_window,faithful,within_useful_manifold,600,400,31,60;60;60,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.575267,0.9,0.9,2,0.75,0.0,0.0,0.8,0.35,0.02,0.65,0.55,0.75,none,2
overlap_window_blur,overlap,sliding_window_long,sliding_window,failed,undercapture;motif_loss,260,98,20,6;5;5,0.083333,0.666111,0.0,1.0,0.935484,0.0,1.0,0.481386,0.888889,0.919753,4,0.75,0.0,0.0,0.8,0.35,0.02,0.65,0.55,0.75,none,2
overlap_window_blur,overlap,sliding_window_low_threshold,sliding_window,failed,overcapture,600,400,30,60;60;60,1.0,1.555556,0.555556,1.0,1.0,0.0,1.0,0.56893,0.9,0.9,4,0.6,0.0,0.0,0.8,0.35,0.02,0.65,0.55,0.75,none,2
overlap_window_blur,overlap,sliding_window_high_threshold,sliding_window,failed,no_events_detected;undercapture;motif_loss;history_prediction_failure;no_event_advantage_over_static,0,0,0,0;0;0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.9,0.0,0.0,0.8,0.35,0.02,0.65,0.55,0.75,none,2
overlap_window_blur,overlap,heu_default,heu_like,faithful,within_useful_manifold,600,400,33,60;60;60,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.568606,0.9,0.9,4,0.75,0.0,0.0,0.8,0.35,0.02,0.65,0.55,0.75,none,2
overlap_window_blur,overlap,heu_fast_decay,heu_like,faithful,within_useful_manifold,600,400,30,60;60;60,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.576775,0.9,0.9,4,0.75,0.0,0.0,0.8,0.6,0.05,0.65,0.55,0.75,none,2
overlap_window_blur,overlap,heu_slow_decay,heu_like,failed,overcapture,605,405,38,57;59;58,0.95,1.668611,0.668611,0.983607,0.991736,0.0,0.983607,0.569224,0.897561,0.895,4,0.75,0.0,0.0,0.8,0.15,0.0,0.65,0.55,0.75,none,2
overlap_window_blur,overlap,heu_high_commit,heu_like,faithful,within_useful_manifold,600,400,27,60;60;60,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.56893,0.9,0.9,4,0.75,0.0,0.0,0.8,0.35,0.02,0.8,0.55,0.75,none,2
overlap_window_blur,overlap,heu_low_commit,heu_like,degraded,overcapture_degradation,600,400,29,60;60;60,1.0,1.333333,0.333333,1.0,1.0,0.0,1.0,0.568915,0.9,0.9,4,0.75,0.0,0.0,0.8,0.35,0.02,0.5,0.55,0.75,none,2
overlap_window_blur,overlap,hysteresis_default,hysteresis,faithful,within_useful_manifold,600,400,30,60;60;60,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.570256,0.9,0.9,4,0.75,0.0,0.0,0.8,0.35,0.02,0.65,0.55,0.75,none,2
overlap_window_blur,overlap,hysteresis_tight,hysteresis,faithful,within_useful_manifold,600,400,29,60;60;60,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.568908,0.9,0.9,4,0.75,0.0,0.0,0.8,0.35,0.02,0.65,0.85,0.75,none,2
overlap_window_blur,overlap,hysteresis_loose,hysteresis,faithful,within_useful_manifold,600,400,30,60;60;60,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.571832,0.9,0.9,4,0.75,0.0,0.0,0.8,0.35,0.02,0.65,0.35,0.75,none,2
overlap_window_blur,overlap,hysteresis_low_threshold,hysteresis,faithful,within_useful_manifold,600,400,30,60;60;60,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.573408,0.9,0.9,4,0.6,0.0,0.0,0.8,0.35,0.02,0.65,0.55,0.75,none,2
overlap_window_blur,overlap,hysteresis_high_threshold,hysteresis,faithful,within_useful_manifold,600,400,30,60;60;60,1.0,1.005402,0.005402,1.0,1.0,0.0,1.0,0.575788,0.9,0.9,4,0.9,0.0,0.0,0.8,0.35,0.02,0.65,0.55,0.75,none,2
overlap_window_blur,overlap,hybrid_default,hybrid_state_window,failed,undercapture,600,400,28,60;60;60,1.0,0.555556,0.0,1.0,1.0,0.0,1.0,0.576995,0.9,0.9,4,0.75,0.0,0.0,0.8,0.35,0.02,0.65,0.55,0.75,none,2
overlap_window_blur,overlap,hybrid_strict_local,hybrid_state_window,failed,undercapture;motif_degradation,585,385,30,55;54;57,0.9,0.547222,0.0,1.0,0.991453,0.0,1.0,0.554513,0.897297,0.9,4,0.75,0.0,0.0,0.8,0.35,0.02,0.65,0.55,0.95,none,2
overlap_window_blur,overlap,hybrid_loose_local,hybrid_state_window,degraded,coverage_degradation,600,400,30,60;60;60,1.0,0.779444,0.0,1.0,1.0,0.0,1.0,0.571255,0.9,0.9,4,0.75,0.0,0.0,0.8,0.35,0.02,0.65,0.55,0.55,none,2
overlap_window_blur,overlap,hybrid_fast_decay,hybrid_state_window,failed,undercapture,600,400,28,60;60;60,1.0,0.555556,0.0,1.0,1.0,0.0,1.0,0.577497,0.9,0.9,4,0.75,0.0,0.0,0.8,0.6,0.05,0.65,0.55,0.75,none,2
overlap_window_blur,overlap,hybrid_high_commit,hybrid_state_window,failed,undercapture,600,400,32,60;60;60,1.0,0.555556,0.0,1.0,1.0,0.0,1.0,0.571701,0.9,0.9,4,0.75,0.0,0.0,0.8,0.35,0.02,0.8,0.55,0.75,none,2
overlap_window_blur,overlap,union_default,union_state_window,degraded,overcapture_degradation,600,400,30,60;60;60,1.0,1.22,0.22,1.0,1.0,0.0,1.0,0.570435,0.9,0.9,4,0.75,0.0,0.0,0.8,0.35,0.02,0.65,0.55,0.75,none,2
overlap_window_blur,overlap,union_fast_decay,union_state_window,degraded,overcapture_degradation,600,400,29,60;60;60,1.0,1.204444,0.204444,1.0,1.0,0.0,1.0,0.565577,0.9,0.9,4,0.75,0.0,0.0,0.8,0.6,0.05,0.65,0.55,0.75,none,2
