pattern,support,variants,predicted_next_events,contexts,outcomes
"{A,B,C} -> {A,B}",8,"{A,B,F}:2;{A,B,E}:2;{B,D}:1;{B,G}:1;{B,E}:1;{A,B,H}:1","{A,B,F};{A,B,E};{B,D};{B,G};{B,E};{A,B,H}",Z:3;W:3;X:2,Y2:3;Y3:3;Y1:2
"{A,G}",8,"{A,G,H}:1;{A,F}:1;{E,F}:1;{A,D,E}:1;{A,E,G}:1;{B,E}:1;{B,C}:1","{A,G,H};{A,F};{E,F};{A,D,E};{A,E,G};{B,E};{B,C}",N:4;Z:2;W:1;X:1,YN:4;Y2:2;Y3:1;Y1:1
"{F,H}",8,"{E,F}:2;{C,F,G}:1;{C,F,H}:1;{C,H}:1;{B,C}:1;{B,F}:1","{E,F};{C,F,G};{C,F,H};{C,H};{B,C};{B,F}",N:3;Z:2;W:2;X:1,YN:3;Y2:2;Y3:2;Y1:1
"{B,C,F}",8,"{E,F}:4;{B,C}:3;{D,E,F,G}:1","{E,F};{B,C};{D,E,F,G}",X:8,Y1:8
"{E,F} -> {C,E,F}",8,"{E,F,G}:1;{B,E}:1;{A,D}:1","{E,F,G};{B,E};{A,D}",X:3;W:3;Z:2,Y1:3;Y3:3;Y2:2
"{D,G}",7,"{D,H}:2;{B,D,G}:1;{A,D,G}:1;{D,E}:1;{D,E,G}:1;{B,G}:1","{D,H};{B,D,G};{A,D,G};{D,E};{D,E,G};{B,G}",N:5;Z:1;W:1,YN:5;Y2:1;Y3:1
"{B,C} -> {B,C,D}",7,"{E,F}:3;{D,E,F}:1;{B,C}:1;{D,E}:1;{A,E,F}:1","{E,F};{D,E,F};{B,C};{D,E};{A,E,F}",X:6;N:1,Y1:6;YN:1
"{B,E,G}",7,"{E,F}:3;{B,E,F}:1;{A,G}:1;{E,G}:1;{D,E}:1","{E,F};{B,E,F};{A,G};{E,G};{D,E}",W:4;Z:2;N:1,Y3:4;Y2:2;YN:1
"{B,E,F} -> {E,F}",7,"{F,H}:1;{E,F,G}:1;{E,F,H}:1;{A,B}:1","{F,H};{E,F,G};{E,F,H};{A,B}",Z:3;X:3;W:1,Y2:3;Y1:3;Y3:1
"{E,F} -> {E,F}",7,,,X:4;Z:2;W:1,Y1:4;Y2:2;Y3:1
"{A,B} -> {A,B}",7,"{B,E}:2;{B,C}:2;{A,E}:1;{B,G}:1;{B,C,D,F,H}:1","{B,E};{B,C};{A,E};{B,G};{B,C,D,F,H}",X:4;Z:2;W:1,Y1:4;Y2:2;Y3:1
"{A,B,E} -> {A,B}",7,"{B,E}:2;{A,B,C}:1;{D,G}:1;{B,G,H}:1;{A,B,H}:1;{A,B,E}:1","{B,E};{A,B,C};{D,G};{B,G,H};{A,B,H};{A,B,E}",Z:4;W:2;X:1,Y2:4;Y3:2;Y1:1
"{B,D}",7,"{B,C}:2;{B,G}:2;{B,D,F}:1;{B,E}:1;{E,F}:1","{B,C};{B,G};{B,D,F};{B,E};{E,F}",X:3;W:2;N:1;Z:1,Y1:3;Y3:2;YN:1;Y2:1
"{A,B,E} -> {B,E}",7,"{B,C,E}:2;{E,F}:2;{D,G}:1;{A,B,E}:1;{B,E,F}:1","{B,C,E};{E,F};{D,G};{A,B,E};{B,E,F}",Z:7,Y2:7
