pattern,support,variants,predicted_next_events,contexts,outcomes
"{U24,U27}",2,"{U13,U27}:1;{U07,U24,U27}:1","{U13,U27};{U07,U24,U27}",CTX_0149:1;CTX_0172:1,OUT_0149:1;OUT_0172:1
"{U38,U39}",2,"{U09,U34,U38,U39}:1;{U15,U22,U34}:1","{U09,U34,U38,U39};{U15,U22,U34}",CTX_0149:1;CTX_0170:1,OUT_0149:1;OUT_0170:1
"{U15,U32}",2,"{U11,U16,U19,U34}:1;{U00,U15,U29,U32}:1","{U11,U16,U19,U34};{U00,U15,U29,U32}",CTX_0151:1;CTX_0162:1,OUT_0151:1;OUT_0162:1
"{U18,U21}",2,"{U00,U26,U27,U39}:1;{U15,U16,U19,U20,U23}:1","{U00,U26,U27,U39};{U15,U16,U19,U20,U23}",CTX_0152:1;CTX_0165:1,OUT_0152:1;OUT_0165:1
"{U13,U25}",2,"{U02,U13,U22,U25}:1","{U02,U13,U22,U25}",CTX_0155:1;CTX_0195:1,OUT_0155:1;OUT_0195:1
"{U20,U26}",2,"{U08,U15,U20,U30}:1;{U08,U20,U26}:1","{U08,U15,U20,U30};{U08,U20,U26}",CTX_0156:1;CTX_0164:1,OUT_0156:1;OUT_0164:1
"{U28,U39}",2,"{U17,U23}:1;{U21,U28,U29,U39}:1","{U17,U23};{U21,U28,U29,U39}",CTX_0157:1;CTX_0169:1,OUT_0157:1;OUT_0169:1
"{U15,U26}",2,"{U13,U18,U20,U23,U37}:1;{U15,U26,U27,U31,U34}:1","{U13,U18,U20,U23,U37};{U15,U26,U27,U31,U34}",CTX_0158:1;CTX_0171:1,OUT_0158:1;OUT_0171:1
"{U03,U26}",2,"{U03,U26,U28}:1;{U03,U14,U24}:1","{U03,U26,U28};{U03,U14,U24}",CTX_0161:1;CTX_0194:1,OUT_0161:1;OUT_0194:1
"{U31,U35}",2,"{U03,U06,U08,U27,U28}:1;{U00,U24,U28,U31,U35}:1","{U03,U06,U08,U27,U28};{U00,U24,U28,U31,U35}",CTX_0168:1;CTX_0193:1,OUT_0168:1;OUT_0193:1
"{U00,U17}",2,"{U00,U17,U27}:1","{U00,U17,U27}",CTX_0169:1;CTX_0172:1,OUT_0169:1;OUT_0172:1
"{U35,U39}",2,"{U16,U27,U35}:1;{U29,U35,U39}:1","{U16,U27,U35};{U29,U35,U39}",CTX_0173:1;CTX_0190:1,OUT_0173:1;OUT_0190:1
"{U14,U37}",2,"{U14,U26,U37}:1;{U04,U07,U25,U29}:1","{U14,U26,U37};{U04,U07,U25,U29}",CTX_0179:1;CTX_0180:1,OUT_0179:1;OUT_0180:1
"{U08,U26}",2,"{U05,U20}:1;{U08,U10,U15,U26}:1","{U05,U20};{U08,U10,U15,U26}",CTX_0183:1;CTX_0192:1,OUT_0183:1;OUT_0192:1
